"","tax_year","prop_income","prop","relative_avg_income","ts"
"1",1997,0.162637359440956,0.14991744756805,1.08484610750281,"Top 1"
"2",1998,0.164475201124297,0.153118680976824,1.07416809023579,"Top 1"
"3",1999,0.165004616192126,0.153925752316094,1.07197537585056,"Top 1"
"4",2000,0.171207267962372,0.154806508355321,1.10594360522238,"Top 1"
"5",2001,0.183896361190458,0.159815106215578,1.15068196959051,"Top 1"
"6",2002,0.181959224852208,0.16181158790827,1.12451294251781,"Top 1"
"7",2003,0.178881285736494,0.16174008715537,1.10597990196863,"Top 1"
"8",2004,0.173828203722425,0.157101244404464,1.10647248136938,"Top 1"
"9",2005,0.188455383289991,0.17035175879397,1.10627201400319,"Top 1"
"10",2006,0.194021155995439,0.172991259035132,1.12156624026903,"Top 1"
"11",2007,0.20069877980758,0.175282559373894,1.1450014224146,"Top 1"
"12",2008,0.209494510853317,0.180308872347883,1.16186468322604,"Top 1"
"13",2009,0.208500126051648,0.185931302392149,1.12138259329728,"Top 1"
"14",2010,0.218912631390944,0.192357861902736,1.13804878690966,"Top 1"
"15",2011,0.238942532160375,0.20072031942856,1.19042522869947,"Top 1"
"16",2012,0.237087686184983,0.203650784161336,1.1641874454908,"Top 1"
"17",2013,0.238843273048229,0.205170092273573,1.16412324233766,"Top 1"
"18",2014,0.237615721194254,0.204382243174229,1.16260452720295,"Top 1"
"19",2015,0.238629594977296,0.208720465922593,1.14329753875595,"Top 1"
"20",2016,0.231748346989962,0.210158498238372,1.10273126679418,"Top 1"
"21",2017,0.256273924878761,0.223271797054926,1.14781144891182,"Top 1"
"22",2018,0.265263978370132,0.228626225802646,1.16025174906711,"Top 1"
"23",1997,0.181004477672727,0.181749219098617,0.99590236794643,"Top 0.1"
"24",1998,0.180648193149683,0.183676643779304,0.983512053752138,"Top 0.1"
"25",1999,0.180759268313048,0.183253366351958,0.98638989237382,"Top 0.1"
"26",2000,0.194604803485305,0.192062445030783,1.01323714510723,"Top 0.1"
"27",2001,0.220775980719094,0.205153422501967,1.07615060975635,"Top 0.1"
"28",2002,0.215904762575079,0.206349895760945,1.04630419985869,"Top 0.1"
"29",2003,0.209584964066553,0.199853302843336,1.04869402248931,"Top 0.1"
"30",2004,0.205141324605721,0.193257512476172,1.06149210955519,"Top 0.1"
"31",2005,0.22066820781258,0.208277675296313,1.05949044946195,"Top 0.1"
"32",2006,0.227722497807341,0.208900655572365,1.09009948859857,"Top 0.1"
"33",2007,0.240057612165593,0.222363299544158,1.07957388947595,"Top 0.1"
"34",2008,0.253813424448779,0.22788098723685,1.11379816072578,"Top 0.1"
"35",2009,0.243252207964182,0.222878756900429,1.09141046615248,"Top 0.1"
"36",2010,0.25435256883177,0.233618926090215,1.08874984184093,"Top 0.1"
"37",2011,0.305136709483892,0.28012199281687,1.08929936709173,"Top 0.1"
"38",2012,0.295114453579041,0.276020804687033,1.0691746729514,"Top 0.1"
"39",2013,0.300247545454002,0.282998693121065,1.06095028970879,"Top 0.1"
"40",2014,0.286789106808642,0.269789825181693,1.06300935039155,"Top 0.1"
"41",2015,0.284727030587504,0.272288124038256,1.04568288313412,"Top 0.1"
"42",2016,0.260639295091308,0.25594294770206,1.01834919630102,"Top 0.1"
"43",2017,0.307129827997003,0.290001534095267,1.05906276997869,"Top 0.1"
"44",2018,0.320292807584226,0.295013033468425,1.08569036363781,"Top 0.1"
"45",1997,0.178537404968153,0.179384203480589,0.995279414262761,"Top 0.01"
"46",1998,0.171632831808291,0.185333333333333,0.926076430620277,"Top 0.01"
"47",1999,0.174878743054375,0.182622153437984,0.957598734666995,"Top 0.01"
"48",2000,0.19795853863506,0.201846965699208,0.98073576657108,"Top 0.01"
"49",2001,0.246216064723651,0.237106643356643,1.0384190895626,"Top 0.01"
"50",2002,0.235789765252742,0.243648208469055,0.967746763804703,"Top 0.01"
"51",2003,0.231371006725862,0.233009708737864,0.992967237198489,"Top 0.01"
"52",2004,0.233106486623421,0.236453201970443,0.985846183011552,"Top 0.01"
"53",2005,0.248357437231574,0.251060220525869,0.989234521946032,"Top 0.01"
"54",2006,0.264132585213229,0.255936121033831,1.03202542941688,"Top 0.01"
"55",2007,0.268312681941661,0.283930058284763,0.944995692117112,"Top 0.01"
"56",2008,0.298442216742194,0.291546391752577,1.02365258217797,"Top 0.01"
"57",2009,0.277053095796604,0.283582089552239,0.976976706230129,"Top 0.01"
"58",2010,0.281915497183379,0.26919181689285,1.04726622241862,"Top 0.01"
"59",2011,0.354359307157526,0.353130016051364,1.00348112890517,"Top 0.01"
"60",2012,0.32494072358618,0.336388999601435,0.96596715103996,"Top 0.01"
"61",2013,0.332012577239542,0.339207920792079,0.97878780797413,"Top 0.01"
"62",2014,0.316274575967407,0.327833431545865,0.964741681396087,"Top 0.01"
"63",2015,0.307398376971949,0.330151928320997,0.931081573671969,"Top 0.01"
"64",2016,0.268052443277756,0.296868960185543,0.902931862968169,"Top 0.01"
"65",2017,0.337400765048583,0.360882070949185,0.93493357583866,"Top 0.01"
"66",2018,0.357266153436255,0.370053272450533,0.965445194067329,"Top 0.01"
"67",1997,0.171748859063588,0.167410714285714,1.0259131848065,"Top 0.001"
"68",1998,0.144765675823923,0.153333333333333,0.944123972764714,"Top 0.001"
"69",1999,0.154893153931886,0.157079646017699,0.98608036024243,"Top 0.001"
"70",2000,0.193517990220839,0.202197802197802,0.957072669026974,"Top 0.001"
"71",2001,0.266662082569225,0.255458515283843,1.04385669928808,"Top 0.001"
"72",2002,0.218202112859536,0.239130434782609,0.912481562867149,"Top 0.001"
"73",2003,0.229671693886514,0.241379310344828,0.951497017529845,"Top 0.001"
"74",2004,0.227585677769676,0.229122055674518,0.993294500172324,"Top 0.001"
"75",2005,0.239603487198557,0.241525423728814,0.992042508401041,"Top 0.001"
"76",2006,0.276733075428744,0.292016806722689,0.947661466935842,"Top 0.001"
"77",2007,0.229947195171343,0.283333333333333,0.811578335898857,"Top 0.001"
"78",2008,0.315986755189193,0.36701030927835,0.860975147566058,"Top 0.001"
"79",2009,0.257162306864073,0.302658486707566,0.849678162544132,"Top 0.001"
"80",2010,0.300343183595137,0.311740890688259,0.963438523999985,"Top 0.001"
"81",2011,0.344592382672353,0.391566265060241,0.88003593113247,"Top 0.001"
"82",2012,0.289229616823709,0.330677290836653,0.874658238828323,"Top 0.001"
"83",2013,0.316659557137227,0.364356435643564,0.869092806273368,"Top 0.001"
"84",2014,0.286081838725424,0.304518664047151,0.939455844588649,"Top 0.001"
"85",2015,0.251849823717757,0.280701754385965,0.897214996994509,"Top 0.001"
"86",2016,0.213536769603943,0.259187620889749,0.823869476755513,"Top 0.001"
"87",2017,0.294521922211145,0.36468330134357,0.80761011301056,"Top 0.001"
"88",2018,0.320348647144729,0.35171102661597,0.910829126476364,"Top 0.001"
"89",2000,NA,0.0757238890879926,NA,"all"
"90",2001,NA,0.0797946095811285,NA,"all"
"91",2002,NA,0.0827987226150791,NA,"all"
"92",2003,NA,0.0851796060055003,NA,"all"
"93",2004,NA,0.0882968110188213,NA,"all"
"94",2005,NA,0.0929490377653523,NA,"all"
"95",2006,NA,0.0999063997021443,NA,"all"
"96",2007,NA,0.105299765498723,NA,"all"
"97",2008,NA,0.110347005311446,NA,"all"
"98",2009,NA,0.113635351466293,NA,"all"
"99",2010,NA,0.11612415715195,NA,"all"
"100",2011,NA,0.121960832008899,NA,"all"
"101",2012,NA,0.123707108049337,NA,"all"
"102",2013,NA,0.12452766800969,NA,"all"
"103",2014,NA,0.129344170478991,NA,"all"
"104",2015,NA,0.132707366115152,NA,"all"
"105",2016,NA,0.140812538012687,NA,"all"
"106",2017,NA,0.143281462386476,NA,"all"
"107",2018,NA,0.141661729209413,NA,"all"
